Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer,Chrome 69.0.3497.100,,2018-10-15 15:43:43,2018-10-15 15:48:49,5m - 5.824s,FAILED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,Chrome 69.0.3497.100,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-15 15:43:44,2018-10-15 15:43:55,11.472s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Pirq Homepage,2018-10-15 15:43:45,2018-10-15 15:43:54,9.135s,PASSED
click,Chrome 69.0.3497.100,Click Sign up button,2018-10-15 15:43:54,2018-10-15 15:43:54,0.649s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point SignUp,2018-10-15 15:43:54,2018-10-15 15:43:55,0.171s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:43:55,2018-10-15 15:43:55,0.862s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,Chrome 69.0.3497.100,Leave empty required fields to test error messages,2018-10-15 15:43:55,2018-10-15 15:44:03,7.934s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer Sign up page,2018-10-15 15:43:56,2018-10-15 15:44:02,6.188s,PASSED
click,Chrome 69.0.3497.100,"Leave Empty Email, click Create Account",2018-10-15 15:44:02,2018-10-15 15:44:03,0.518s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-15 15:44:03,2018-10-15 15:44:03,0.068s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:44:03,2018-10-15 15:44:03,0.780s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,Chrome 69.0.3497.100,Invalid email to test error message,2018-10-15 15:44:03,2018-10-15 15:44:12,8.432s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user signup page,2018-10-15 15:44:04,2018-10-15 15:44:10,6.512s,PASSED
setText,Chrome 69.0.3497.100,Input invalid email,2018-10-15 15:44:10,2018-10-15 15:44:10,0.307s,PASSED
click,Chrome 69.0.3497.100,Click Create Account button,2018-10-15 15:44:10,2018-10-15 15:44:11,0.510s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:44:11,2018-10-15 15:44:11,0.063s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:44:11,2018-10-15 15:44:12,0.803s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_05_Verify that signing up with valid email,Chrome 69.0.3497.100,Successfully sign up with valid email to test the confirm link sent to inbox,2018-10-15 15:44:12,2018-10-15 15:44:21,8.694s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer sign up email,2018-10-15 15:44:12,2018-10-15 15:44:18,6.093s,PASSED
"Statement - var_ConsumerNewSignUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Consumer"")",Chrome 69.0.3497.100,Input valid email,2018-10-15 15:44:18,2018-10-15 15:44:18,0.015s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 15:44:18,2018-10-15 15:44:18,0.041s,PASSED
setText,Chrome 69.0.3497.100,Set text email,2018-10-15 15:44:18,2018-10-15 15:44:19,0.588s,PASSED
click,Chrome 69.0.3497.100,Click create account button,2018-10-15 15:44:19,2018-10-15 15:44:20,0.708s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:44:20,2018-10-15 15:44:20,0.058s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:44:20,2018-10-15 15:44:21,0.806s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_06_Verify that clicking on confirmation link will redirect ro confirm-user page with the correct email showed,Chrome 69.0.3497.100,To test the confirmation-link redirects to User-confirm page,2018-10-15 15:44:21,2018-10-15 15:44:37,16.875s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to sign up page,2018-10-15 15:44:21,2018-10-15 15:44:28,6.710s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 15:44:28,2018-10-15 15:44:28,0.004s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check Yopmail inbox,2018-10-15 15:44:28,2018-10-15 15:44:33,5.271s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab ,2018-10-15 15:44:33,2018-10-15 15:44:37,3.766s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:44:37,2018-10-15 15:44:37,0.039s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:44:37,2018-10-15 15:44:37,0.789s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_07_Verify that submitting confirm account with empty first name,Chrome 69.0.3497.100,Leave empty first name field to test error message,2018-10-15 15:44:37,2018-10-15 15:44:54,16.585s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 15:44:38,2018-10-15 15:44:44,6.497s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 15:44:44,2018-10-15 15:44:44,0.001s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 15:44:44,2018-10-15 15:44:49,4.951s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab,2018-10-15 15:44:49,2018-10-15 15:44:53,3.535s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify confirm account page,2018-10-15 15:44:53,2018-10-15 15:44:53,0.036s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 15:44:53,2018-10-15 15:44:53,0.472s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:44:53,2018-10-15 15:44:53,0.035s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:44:53,2018-10-15 15:44:54,0.778s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_08_Verify that submitting confirm account with empty last name,Chrome 69.0.3497.100,Leave empty last name field to test error message,2018-10-15 15:44:54,2018-10-15 15:45:12,17.719s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 15:44:54,2018-10-15 15:45:01,6.388s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 15:45:01,2018-10-15 15:45:07,5.905s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab,2018-10-15 15:45:07,2018-10-15 15:45:10,3.465s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify direct link,2018-10-15 15:45:10,2018-10-15 15:45:10,0.049s,PASSED
setText,Chrome 69.0.3497.100,Set text first name,2018-10-15 15:45:10,2018-10-15 15:45:10,0.278s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 15:45:10,2018-10-15 15:45:11,0.574s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:45:11,2018-10-15 15:45:11,0.038s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:45:11,2018-10-15 15:45:12,0.752s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_09_Verify that submitting confirm account with empty password,Chrome 69.0.3497.100,Leave empty password field to test error message,2018-10-15 15:45:12,2018-10-15 15:45:29,17.094s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 15:45:12,2018-10-15 15:45:19,6.489s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 15:45:19,2018-10-15 15:45:23,4.836s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq page,2018-10-15 15:45:23,2018-10-15 15:45:27,3.525s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify page,2018-10-15 15:45:27,2018-10-15 15:45:27,0.029s,PASSED
setText,Chrome 69.0.3497.100,Set first name,2018-10-15 15:45:27,2018-10-15 15:45:27,0.180s,PASSED
setText,Chrome 69.0.3497.100,Verify last name,2018-10-15 15:45:27,2018-10-15 15:45:27,0.193s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 15:45:27,2018-10-15 15:45:28,0.724s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:45:28,2018-10-15 15:45:28,0.059s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:45:28,2018-10-15 15:45:29,0.807s,PASSED
,,,,,,
