Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Digital Loyalty,Chrome 69.0.3497.100,,2018-10-15 17:20:31,2018-10-15 17:22:56,2m - 24.795s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_26_Verify that submitting successfully Loyalty Program at step 3,Chrome 69.0.3497.100,,2018-10-15 17:20:32,2018-10-15 17:21:16,44.392s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 17:20:33,2018-10-15 17:20:33,0.256s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 17:20:33,2018-10-15 17:20:45,12.173s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 17:20:45,2018-10-15 17:20:46,0.850s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 17:20:46,2018-10-15 17:20:46,0.476s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 17:20:46,2018-10-15 17:20:46,0.018s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 17:20:46,2018-10-15 17:20:47,0.708s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 17:20:47,2018-10-15 17:20:48,0.429s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 17:20:48,2018-10-15 17:20:48,0.419s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 17:20:48,2018-10-15 17:20:49,0.584s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 17:20:49,2018-10-15 17:20:49,0.340s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 17:20:49,2018-10-15 17:20:49,0.289s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 17:20:49,2018-10-15 17:20:52,3.259s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 17:20:52,2018-10-15 17:20:53,0.406s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 17:20:53,2018-10-15 17:20:53,0.351s,PASSED
setText,Chrome 69.0.3497.100,input zip code,2018-10-15 17:20:53,2018-10-15 17:20:53,0.242s,PASSED
setText,Chrome 69.0.3497.100,input card,2018-10-15 17:20:53,2018-10-15 17:20:54,0.372s,PASSED
setText,Chrome 69.0.3497.100,input CVV,2018-10-15 17:20:54,2018-10-15 17:20:54,0.202s,PASSED
selectOptionByIndex,Chrome 69.0.3497.100,select date,2018-10-15 17:20:54,2018-10-15 17:20:54,0.292s,PASSED
selectOptionByIndex,Chrome 69.0.3497.100,select date,2018-10-15 17:20:54,2018-10-15 17:20:55,0.397s,PASSED
