Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
,,,,,,
Test Cases/Consumer/Login/ConsLog_01_11_Verify that changing password with invalid password shows error message,Chrome 69.0.3497.100,Invalid password to test error message,2018-10-11 18:17:24,2018-10-11 18:17:41,17.631s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Yopmail,2018-10-11 18:17:24,2018-10-11 18:17:30,5.734s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check User inbox,2018-10-11 18:17:30,2018-10-11 18:17:34,4.609s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:17:34,2018-10-11 18:17:40,5.658s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-11 18:17:40,2018-10-11 18:17:40,0.041s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:17:40,2018-10-11 18:17:40,0.469s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:17:40,2018-10-11 18:17:40,0.039s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:17:40,2018-10-11 18:17:41,0.782s,PASSED
,,,,,,
Test Cases/Consumer/Login/ConsLog_01_12_Verify that changing password with invalid confirm-password shows error message,Chrome 69.0.3497.100,Invalid confirm-password to test error message,2018-10-11 18:17:41,2018-10-11 18:17:57,15.424s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Yopmail,2018-10-11 18:17:42,2018-10-11 18:17:47,5.793s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check User inbox,2018-10-11 18:17:47,2018-10-11 18:17:51,3.827s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:17:51,2018-10-11 18:17:55,3.964s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-11 18:17:55,2018-10-11 18:17:55,0.037s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:17:55,2018-10-11 18:17:55,0.262s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:17:55,2018-10-11 18:17:56,0.481s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:17:56,2018-10-11 18:17:56,0.037s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:17:56,2018-10-11 18:17:57,0.758s,PASSED
,,,,,,
Test Cases/Consumer/Login/ConsLog_01_13_Verify that successfully changing password with valid pass,Chrome 69.0.3497.100,Successfully changing password to test the successful message,2018-10-11 18:17:57,2018-10-11 18:18:14,17.171s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Yopmail,2018-10-11 18:17:57,2018-10-11 18:18:03,5.664s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check User inbox,2018-10-11 18:18:03,2018-10-11 18:18:07,4.000s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-11 18:18:07,2018-10-11 18:18:12,5.492s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-11 18:18:12,2018-10-11 18:18:12,0.044s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:18:12,2018-10-11 18:18:12,0.226s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:18:12,2018-10-11 18:18:13,0.167s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:18:13,2018-10-11 18:18:13,0.487s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:18:13,2018-10-11 18:18:13,0.046s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:18:13,2018-10-11 18:18:14,0.778s,PASSED
,,,,,,
Test Cases/Consumer/Login/ConsLog_01_14_Verify that successfully logging in with new password,Chrome 69.0.3497.100,To test login with new password,2018-10-11 18:18:14,2018-10-11 18:18:23,9.325s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Open Consumer Login page,2018-10-11 18:18:14,2018-10-11 18:18:20,6.252s,PASSED
customkeyword.CommonKeyword.LoginConsumer,Chrome 69.0.3497.100,Login with valid email and password,2018-10-11 18:18:20,2018-10-11 18:18:22,2.073s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point login successfully,2018-10-11 18:18:22,2018-10-11 18:18:22,0.049s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:18:22,2018-10-11 18:18:23,0.758s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,Chrome 69.0.3497.100,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-11 18:18:23,2018-10-11 18:18:34,10.322s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Pirq Homepage,2018-10-11 18:18:23,2018-10-11 18:18:32,8.822s,PASSED
click,Chrome 69.0.3497.100,Click Sign up button,2018-10-11 18:18:32,2018-10-11 18:18:33,0.519s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point SignUp,2018-10-11 18:18:33,2018-10-11 18:18:33,0.045s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:18:33,2018-10-11 18:18:34,0.739s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,Chrome 69.0.3497.100,Leave empty required fields to test error messages,2018-10-11 18:18:34,2018-10-11 18:18:43,9.644s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer Sign up page,2018-10-11 18:18:34,2018-10-11 18:18:42,8.047s,PASSED
click,Chrome 69.0.3497.100,"Leave Empty Email, click Create Account",2018-10-11 18:18:42,2018-10-11 18:18:42,0.485s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-11 18:18:42,2018-10-11 18:18:42,0.115s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:18:42,2018-10-11 18:18:43,0.797s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,Chrome 69.0.3497.100,Invalid email to test error message,2018-10-11 18:18:43,2018-10-11 18:18:53,10.077s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user signup page,2018-10-11 18:18:43,2018-10-11 18:18:52,8.373s,PASSED
setText,Chrome 69.0.3497.100,Input invalid email,2018-10-11 18:18:52,2018-10-11 18:18:52,0.274s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:18:52,2018-10-11 18:18:53,0.488s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:18:53,2018-10-11 18:18:53,0.043s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:18:53,2018-10-11 18:18:53,0.713s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_05_Verify that signing up with valid email,Chrome 69.0.3497.100,Successfully sign up with valid email to test the confirm link sent to inbox,2018-10-11 18:18:53,2018-10-11 18:19:02,8.939s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-11 18:18:53,2018-10-11 18:19:00,6.828s,PASSED
Statement - today = new java.util.Date(),Chrome 69.0.3497.100,Input valid email,2018-10-11 18:19:00,2018-10-11 18:19:00,0.006s,PASSED
"Statement - todaysDate = today.format(""ddMMyy_hhmmss"")",Chrome 69.0.3497.100,,2018-10-11 18:19:00,2018-10-11 18:19:00,0.003s,PASSED
"Statement - var_SignUpEmail = ""alanconsumer"" + todaysDate + ""@yopmail.com""",Chrome 69.0.3497.100,,2018-10-11 18:19:00,2018-10-11 18:19:00,0.001s,PASSED
Statement - var_ConsumerNewSignUpEmail = var_SignUpEmail,Chrome 69.0.3497.100,,2018-10-11 18:19:00,2018-10-11 18:19:00,0.002s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-11 18:19:00,2018-10-11 18:19:00,0.028s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-11 18:19:00,2018-10-11 18:19:01,0.417s,PASSED
click,Chrome 69.0.3497.100,,2018-10-11 18:19:01,2018-10-11 18:19:01,0.649s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-11 18:19:01,2018-10-11 18:19:01,0.054s,PASSED
