Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer,Chrome 69.0.3497.100,,2018-10-15 14:43:53,2018-10-15 14:44:13,20.304s,INCOMPLETE
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,Chrome 69.0.3497.100,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-15 14:43:54,2018-10-15 14:44:05,10.813s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Pirq Homepage,2018-10-15 14:43:54,2018-10-15 14:44:03,8.624s,PASSED
click,Chrome 69.0.3497.100,Click Sign up button,2018-10-15 14:44:03,2018-10-15 14:44:03,0.612s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point SignUp,2018-10-15 14:44:03,2018-10-15 14:44:04,0.137s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 14:44:04,2018-10-15 14:44:05,1.001s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,Chrome 69.0.3497.100,Leave empty required fields to test error messages,2018-10-15 14:44:05,2018-10-15 14:44:13,8.916s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer Sign up page,2018-10-15 14:44:05,2018-10-15 14:44:12,7.236s,PASSED
click,Chrome 69.0.3497.100,"Leave Empty Email, click Create Account",2018-10-15 14:44:12,2018-10-15 14:44:13,0.530s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-15 14:44:13,2018-10-15 14:44:13,0.051s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 14:44:13,2018-10-15 14:44:13,0.816s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,Chrome 69.0.3497.100,Invalid email to test error message,2018-10-15 14:44:13,2018-10-15 14:44:13,0.030s,PASSED
