Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Consumer/Sign Up/ConsSig_01_08_Verify that submitting confirm account with empty last name,Chrome 69.0.3497.100,Leave empty last name field to test error message,2018-10-12 21:28:37,2018-10-12 21:28:54,17.580s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-12 21:28:37,2018-10-12 21:28:43,6.184s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-12 21:28:43,2018-10-12 21:28:48,5.046s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-12 21:28:48,2018-10-12 21:28:52,4.408s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:28:52,2018-10-12 21:28:53,0.063s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:28:53,2018-10-12 21:28:53,0.300s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 21:28:53,2018-10-12 21:28:53,0.527s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:28:53,2018-10-12 21:28:53,0.034s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 21:28:53,2018-10-12 21:28:54,0.745s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_09_Verify that submitting confirm account with empty password,Chrome 69.0.3497.100,Leave empty password field to test error message,2018-10-12 21:28:54,2018-10-12 21:29:12,17.729s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-12 21:28:54,2018-10-12 21:29:00,5.776s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-12 21:29:00,2018-10-12 21:29:05,4.906s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-12 21:29:05,2018-10-12 21:29:10,4.523s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:29:10,2018-10-12 21:29:10,0.056s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:29:10,2018-10-12 21:29:10,0.210s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:29:10,2018-10-12 21:29:10,0.171s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 21:29:10,2018-10-12 21:29:11,1.040s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:29:11,2018-10-12 21:29:11,0.035s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 21:29:11,2018-10-12 21:29:12,0.750s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_10_Verify that submitting confirm account with password lessthan 8 characters,Chrome 69.0.3497.100,Input password less than 8 digits to test error message,2018-10-12 21:29:12,2018-10-12 21:29:30,18.133s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-12 21:29:12,2018-10-12 21:29:18,5.876s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-12 21:29:18,2018-10-12 21:29:23,4.563s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-12 21:29:23,2018-10-12 21:29:28,5.181s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:29:28,2018-10-12 21:29:28,0.067s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:29:28,2018-10-12 21:29:28,0.321s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:29:28,2018-10-12 21:29:28,0.216s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:29:28,2018-10-12 21:29:29,0.166s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 21:29:29,2018-10-12 21:29:29,0.528s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:29:29,2018-10-12 21:29:29,0.043s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 21:29:29,2018-10-12 21:29:30,0.864s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_11_Verify that submitting confirm account with password no alphabet character,Chrome 69.0.3497.100,,2018-10-12 21:29:30,2018-10-12 21:29:59,29.346s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-12 21:29:30,2018-10-12 21:29:36,5.339s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,,2018-10-12 21:29:36,2018-10-12 21:29:53,17.816s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,,2018-10-12 21:29:53,2018-10-12 21:29:57,4.059s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:29:57,2018-10-12 21:29:58,0.064s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:29:58,2018-10-12 21:29:58,0.201s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:29:58,2018-10-12 21:29:58,0.178s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:29:58,2018-10-12 21:29:58,0.147s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 21:29:58,2018-10-12 21:29:59,0.485s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:29:59,2018-10-12 21:29:59,0.037s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 21:29:59,2018-10-12 21:29:59,0.764s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_12_Verify that submitting confirm account with invalid confirm-password,Chrome 69.0.3497.100,,2018-10-12 21:29:59,2018-10-12 21:30:18,18.705s,PASSED
