Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer,Chrome 69.0.3497.100,,2018-10-15 15:50:43,2018-10-15 15:55:55,5m - 11.461s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,Chrome 69.0.3497.100,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-15 15:50:44,2018-10-15 15:50:54,10.254s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Pirq Homepage,2018-10-15 15:50:44,2018-10-15 15:50:52,8.258s,PASSED
click,Chrome 69.0.3497.100,Click Sign up button,2018-10-15 15:50:52,2018-10-15 15:50:53,0.616s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point SignUp,2018-10-15 15:50:53,2018-10-15 15:50:53,0.082s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:50:53,2018-10-15 15:50:54,0.849s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,Chrome 69.0.3497.100,Leave empty required fields to test error messages,2018-10-15 15:50:54,2018-10-15 15:51:02,7.798s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer Sign up page,2018-10-15 15:50:54,2018-10-15 15:51:00,6.233s,PASSED
click,Chrome 69.0.3497.100,"Leave Empty Email, click Create Account",2018-10-15 15:51:00,2018-10-15 15:51:01,0.471s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-15 15:51:01,2018-10-15 15:51:01,0.044s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:51:01,2018-10-15 15:51:02,0.809s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,Chrome 69.0.3497.100,Invalid email to test error message,2018-10-15 15:51:02,2018-10-15 15:51:10,8.334s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user signup page,2018-10-15 15:51:02,2018-10-15 15:51:08,6.196s,PASSED
setText,Chrome 69.0.3497.100,Input invalid email,2018-10-15 15:51:08,2018-10-15 15:51:08,0.387s,PASSED
click,Chrome 69.0.3497.100,Click Create Account button,2018-10-15 15:51:08,2018-10-15 15:51:09,0.527s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:51:09,2018-10-15 15:51:09,0.067s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:51:09,2018-10-15 15:51:10,0.876s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_05_Verify that signing up with valid email,Chrome 69.0.3497.100,Successfully sign up with valid email to test the confirm link sent to inbox,2018-10-15 15:51:10,2018-10-15 15:51:19,8.610s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer sign up email,2018-10-15 15:51:10,2018-10-15 15:51:17,6.345s,PASSED
"Statement - var_ConsumerNewSignUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Consumer"")",Chrome 69.0.3497.100,Input valid email,2018-10-15 15:51:17,2018-10-15 15:51:17,0.013s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 15:51:17,2018-10-15 15:51:17,0.029s,PASSED
setText,Chrome 69.0.3497.100,Set text email,2018-10-15 15:51:17,2018-10-15 15:51:17,0.415s,PASSED
click,Chrome 69.0.3497.100,Click create account button,2018-10-15 15:51:17,2018-10-15 15:51:18,0.715s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:51:18,2018-10-15 15:51:18,0.051s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:51:18,2018-10-15 15:51:19,0.758s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_06_Verify that clicking on confirmation link will redirect ro confirm-user page with the correct email showed,Chrome 69.0.3497.100,To test the confirmation-link redirects to User-confirm page,2018-10-15 15:51:19,2018-10-15 15:51:35,16.638s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to sign up page,2018-10-15 15:51:19,2018-10-15 15:51:25,6.624s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 15:51:25,2018-10-15 15:51:25,0.002s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check Yopmail inbox,2018-10-15 15:51:25,2018-10-15 15:51:31,5.324s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab ,2018-10-15 15:51:31,2018-10-15 15:51:34,3.514s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:51:34,2018-10-15 15:51:34,0.031s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:51:34,2018-10-15 15:51:35,0.834s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_07_Verify that submitting confirm account with empty first name,Chrome 69.0.3497.100,Leave empty first name field to test error message,2018-10-15 15:51:35,2018-10-15 15:51:53,18.030s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 15:51:35,2018-10-15 15:51:42,6.591s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 15:51:42,2018-10-15 15:51:42,0.002s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 15:51:42,2018-10-15 15:51:47,4.818s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab,2018-10-15 15:51:47,2018-10-15 15:51:52,4.911s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify confirm account page,2018-10-15 15:51:52,2018-10-15 15:51:52,0.076s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 15:51:52,2018-10-15 15:51:52,0.522s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:51:52,2018-10-15 15:51:52,0.034s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:51:52,2018-10-15 15:51:53,0.839s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_08_Verify that submitting confirm account with empty last name,Chrome 69.0.3497.100,Leave empty last name field to test error message,2018-10-15 15:51:53,2018-10-15 15:52:11,17.513s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 15:51:54,2018-10-15 15:52:00,6.450s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 15:52:00,2018-10-15 15:52:05,5.214s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab,2018-10-15 15:52:05,2018-10-15 15:52:09,3.349s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify direct link,2018-10-15 15:52:09,2018-10-15 15:52:09,0.052s,PASSED
setText,Chrome 69.0.3497.100,Set text first name,2018-10-15 15:52:09,2018-10-15 15:52:09,0.255s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 15:52:09,2018-10-15 15:52:10,0.921s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 15:52:10,2018-10-15 15:52:10,0.066s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 15:52:10,2018-10-15 15:52:11,0.875s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_09_Verify that submitting confirm account with empty password,Chrome 69.0.3497.100,Leave empty password field to test error message,2018-10-15 15:52:11,2018-10-15 15:52:29,18.375s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 15:52:11,2018-10-15 15:52:18,6.572s,PASSED
