Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer,Chrome 69.0.3497.100,,2018-10-15 16:51:25,2018-10-15 16:54:51,3m - 25.711s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,Chrome 69.0.3497.100,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-15 16:51:26,2018-10-15 16:51:40,13.689s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Pirq Homepage,2018-10-15 16:51:27,2018-10-15 16:51:38,10.335s,PASSED
click,Chrome 69.0.3497.100,Click Sign up button,2018-10-15 16:51:38,2018-10-15 16:51:39,1.000s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point SignUp,2018-10-15 16:51:39,2018-10-15 16:51:39,0.144s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:51:39,2018-10-15 16:51:40,1.101s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,Chrome 69.0.3497.100,Leave empty required fields to test error messages,2018-10-15 16:51:40,2018-10-15 16:51:51,10.665s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer Sign up page,2018-10-15 16:51:40,2018-10-15 16:51:48,7.628s,PASSED
click,Chrome 69.0.3497.100,"Leave Empty Email, click Create Account",2018-10-15 16:51:48,2018-10-15 16:51:50,1.441s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-15 16:51:50,2018-10-15 16:51:50,0.094s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:51:50,2018-10-15 16:51:51,0.986s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,Chrome 69.0.3497.100,Invalid email to test error message,2018-10-15 16:51:51,2018-10-15 16:52:00,9.163s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user signup page,2018-10-15 16:51:51,2018-10-15 16:51:58,6.543s,PASSED
setText,Chrome 69.0.3497.100,Input invalid email,2018-10-15 16:51:58,2018-10-15 16:51:58,0.442s,PASSED
click,Chrome 69.0.3497.100,Click Create Account button,2018-10-15 16:51:58,2018-10-15 16:51:59,0.623s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 16:51:59,2018-10-15 16:51:59,0.061s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:51:59,2018-10-15 16:52:00,1.110s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_05_Verify that signing up with valid email,Chrome 69.0.3497.100,Successfully sign up with valid email to test the confirm link sent to inbox,2018-10-15 16:52:00,2018-10-15 16:52:10,9.898s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer sign up email,2018-10-15 16:52:00,2018-10-15 16:52:07,6.527s,PASSED
"Statement - var_ConsumerNewSignUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Consumer"")",Chrome 69.0.3497.100,Input valid email,2018-10-15 16:52:07,2018-10-15 16:52:07,0.016s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:52:07,2018-10-15 16:52:07,0.041s,PASSED
setText,Chrome 69.0.3497.100,Set text email,2018-10-15 16:52:07,2018-10-15 16:52:08,0.827s,PASSED
click,Chrome 69.0.3497.100,Click create account button,2018-10-15 16:52:08,2018-10-15 16:52:09,0.933s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 16:52:09,2018-10-15 16:52:09,0.084s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:52:09,2018-10-15 16:52:10,1.023s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_06_Verify that clicking on confirmation link will redirect ro confirm-user page with the correct email showed,Chrome 69.0.3497.100,To test the confirmation-link redirects to User-confirm page,2018-10-15 16:52:10,2018-10-15 16:52:28,18.068s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to sign up page,2018-10-15 16:52:10,2018-10-15 16:52:17,6.965s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:52:17,2018-10-15 16:52:17,0.003s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check Yopmail inbox,2018-10-15 16:52:17,2018-10-15 16:52:23,5.790s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab ,2018-10-15 16:52:23,2018-10-15 16:52:26,3.654s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 16:52:26,2018-10-15 16:52:27,0.123s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:52:27,2018-10-15 16:52:28,1.139s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_07_Verify that submitting confirm account with empty first name,Chrome 69.0.3497.100,Leave empty first name field to test error message,2018-10-15 16:52:28,2018-10-15 16:52:47,19.152s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 16:52:28,2018-10-15 16:52:35,6.898s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:52:35,2018-10-15 16:52:35,0.002s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 16:52:35,2018-10-15 16:52:41,6.138s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab,2018-10-15 16:52:41,2018-10-15 16:52:45,3.654s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify confirm account page,2018-10-15 16:52:45,2018-10-15 16:52:45,0.088s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 16:52:45,2018-10-15 16:52:46,0.888s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 16:52:46,2018-10-15 16:52:46,0.065s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:52:46,2018-10-15 16:52:47,1.001s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_08_Verify that submitting confirm account with empty last name,Chrome 69.0.3497.100,Leave empty last name field to test error message,2018-10-15 16:52:47,2018-10-15 16:53:07,19.846s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 16:52:47,2018-10-15 16:52:54,6.837s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 16:52:54,2018-10-15 16:53:00,6.117s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab,2018-10-15 16:53:00,2018-10-15 16:53:04,3.483s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify direct link,2018-10-15 16:53:04,2018-10-15 16:53:04,0.122s,PASSED
setText,Chrome 69.0.3497.100,Set text first name,2018-10-15 16:53:04,2018-10-15 16:53:04,0.603s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 16:53:04,2018-10-15 16:53:06,1.190s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 16:53:06,2018-10-15 16:53:06,0.074s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:53:06,2018-10-15 16:53:07,0.998s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_09_Verify that submitting confirm account with empty password,Chrome 69.0.3497.100,Leave empty password field to test error message,2018-10-15 16:53:07,2018-10-15 16:53:27,20.343s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 16:53:07,2018-10-15 16:53:14,6.928s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 16:53:14,2018-10-15 16:53:21,6.485s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq page,2018-10-15 16:53:21,2018-10-15 16:53:25,3.954s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify page,2018-10-15 16:53:25,2018-10-15 16:53:25,0.047s,PASSED
setText,Chrome 69.0.3497.100,Set first name,2018-10-15 16:53:25,2018-10-15 16:53:25,0.318s,PASSED
setText,Chrome 69.0.3497.100,Verify last name,2018-10-15 16:53:25,2018-10-15 16:53:25,0.297s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 16:53:25,2018-10-15 16:53:26,0.841s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 16:53:26,2018-10-15 16:53:26,0.070s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:53:26,2018-10-15 16:53:27,1.013s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_10_Verify that submitting confirm account with password lessthan 8 characters,Chrome 69.0.3497.100,Input password less than 8 digits to test error message,2018-10-15 16:53:27,2018-10-15 16:53:48,20.655s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 16:53:28,2018-10-15 16:53:35,7.027s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 16:53:35,2018-10-15 16:53:40,5.384s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to cotrol Pirq tab,2018-10-15 16:53:40,2018-10-15 16:53:44,3.562s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify page,2018-10-15 16:53:44,2018-10-15 16:53:44,0.120s,PASSED
setText,Chrome 69.0.3497.100,Set first name,2018-10-15 16:53:44,2018-10-15 16:53:45,0.921s,PASSED
setText,Chrome 69.0.3497.100,Set last name,2018-10-15 16:53:45,2018-10-15 16:53:45,0.489s,PASSED
setText,Chrome 69.0.3497.100,Set password,2018-10-15 16:53:45,2018-10-15 16:53:46,0.498s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 16:53:46,2018-10-15 16:53:47,0.930s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 16:53:47,2018-10-15 16:53:47,0.052s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:53:47,2018-10-15 16:53:48,0.983s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_11_Verify that submitting confirm account with password no alphabet character,Chrome 69.0.3497.100,,2018-10-15 16:53:48,2018-10-15 16:54:09,20.939s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user inbox,2018-10-15 16:53:48,2018-10-15 16:53:55,7.193s,PASSED
customkeyword.CommonKeyword.CheckYopmailLink,Chrome 69.0.3497.100,Check user inbox,2018-10-15 16:53:55,2018-10-15 16:54:01,5.599s,PASSED
switchToWindowTitle,Chrome 69.0.3497.100,Switch to control Pirq tab,2018-10-15 16:54:01,2018-10-15 16:54:05,3.563s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify direct link,2018-10-15 16:54:05,2018-10-15 16:54:05,0.129s,PASSED
setText,Chrome 69.0.3497.100,Verify first name,2018-10-15 16:54:05,2018-10-15 16:54:05,0.657s,PASSED
setText,Chrome 69.0.3497.100,Verify last name,2018-10-15 16:54:05,2018-10-15 16:54:06,0.646s,PASSED
setText,Chrome 69.0.3497.100,Verify password,2018-10-15 16:54:06,2018-10-15 16:54:07,0.626s,PASSED
click,Chrome 69.0.3497.100,Click confirm button,2018-10-15 16:54:07,2018-10-15 16:54:08,0.942s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point,2018-10-15 16:54:08,2018-10-15 16:54:08,0.095s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:54:08,2018-10-15 16:54:09,1.024s,PASSED
,,,,,,
