Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer,,,2018-10-15 14:07:33,2018-10-15 14:07:35,2.163s,INCOMPLETE
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-15 14:07:34,2018-10-15 14:07:35,0.931s,ERROR
customkeyword.CommonKeyword.OpenBrowser,,Go to Pirq Homepage,2018-10-15 14:07:35,2018-10-15 14:07:35,0.050s,ERROR
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,,Leave empty required fields to test error messages,2018-10-15 14:07:35,2018-10-15 14:07:35,0.460s,ERROR
customkeyword.CommonKeyword.OpenBrowser,,Go to Consumer Sign up page,2018-10-15 14:07:35,2018-10-15 14:07:35,0.004s,ERROR
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,,Invalid email to test error message,2018-10-15 14:07:35,2018-10-15 14:07:35,0.065s,PASSED
