Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer,Chrome 69.0.3497.100,,2018-10-15 14:45:04,2018-10-15 14:45:27,22.938s,INCOMPLETE
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,Chrome 69.0.3497.100,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-15 14:45:05,2018-10-15 14:45:17,12.552s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Pirq Homepage,2018-10-15 14:45:05,2018-10-15 14:45:15,10.377s,PASSED
click,Chrome 69.0.3497.100,Click Sign up button,2018-10-15 14:45:15,2018-10-15 14:45:16,0.597s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point SignUp,2018-10-15 14:45:16,2018-10-15 14:45:16,0.149s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 14:45:16,2018-10-15 14:45:17,0.866s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,Chrome 69.0.3497.100,Leave empty required fields to test error messages,2018-10-15 14:45:17,2018-10-15 14:45:27,9.820s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer Sign up page,2018-10-15 14:45:17,2018-10-15 14:45:26,8.206s,PASSED
click,Chrome 69.0.3497.100,"Leave Empty Email, click Create Account",2018-10-15 14:45:26,2018-10-15 14:45:26,0.548s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-15 14:45:26,2018-10-15 14:45:26,0.044s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 14:45:26,2018-10-15 14:45:27,0.754s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,Chrome 69.0.3497.100,Invalid email to test error message,2018-10-15 14:45:27,2018-10-15 14:45:27,0.024s,PASSED
